Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall valgtingstemmer totalt;Antall stemmer parti
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;FI;Feministisk Initiativ;0,03846;6267;2614;1
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;Andre;Andre;1,42308;6267;2614;37
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;Andre2;Andre2;0,0;6267;2614;0
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;A;Arbeiderpartiet;29,75543;8368;2218;657
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;SV;Sosialistisk Venstreparti;14,85507;8368;2218;328
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;RØDT;Rødt;10,37138;8368;2218;229
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;SP;Senterpartiet;2,44565;8368;2218;54
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;KRF;Kristelig Folkeparti;1,3587;8368;2218;30
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;MDG;Miljøpartiet De Grønne;6,25;8368;2218;138
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;V;Venstre;8,74094;8368;2218;193
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;H;Høyre;16,57609;8368;2218;366
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;FRP;Fremskrittspartiet;8,51449;8368;2218;188
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;ALLI;Alliansen;0,18116;8368;2218;4
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;DEMN;Demokratene i Norge;0,0;8368;2218;0
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;HELSE;Helsepartiet;0,54348;8368;2218;12
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;KRISTNE;Partiet De Kristne;0,0;8368;2218;0
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;LIBS;Liberalistene;0,13587;8368;2218;3
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;NKP;Norges Kommunistiske Parti;0,0;8368;2218;0
