Partikode,Side,År,Variabel,estimate,std.error,statistic,p.value,r.squared,n
SV,Venstresida,2023,Utdanning,0.12624046452481974,0.03749164633866915,3.367162470926608,0.0011058650158105624,0.5092718539239854,97
SV,Venstresida,2025,Inntekt,-8.608867783673346e-6,1.9953680561106015e-6,-4.314425981367,4.020884443896278e-5,0.7909161474951708,96
SV,Venstresida,2025,Innvandrerandel,0.27240243753797233,0.04144463454907621,6.572682821353147,2.9278864088066797e-9,0.7909161474951708,96
SV,Venstresida,2025,Utdanning,-0.03590360040073191,0.04778729221852051,-0.7513210883879513,0.45437706092287977,0.7909161474951708,96
V,Høyresida,2015,Inntekt,-4.720303936814403e-6,1.0591195786528035e-06,-4.456818693521475,2.7127540371826668e-5,0.8451552944610721,83
V,Høyresida,2015,Innvandrerandel,-0.01187346275981014,0.015011120354902997,-0.7909777870731666,0.4313252321495874,0.8451552944610721,83
V,Høyresida,2015,Utdanning,0.23066091954622125,0.015582642272526136,14.802426668864825,1.7178578322681692e-24,0.8451552944610721,83
V,Høyresida,2019,Inntekt,2.5200197348954254e-6,1.2149000189352752e-6,2.0742610055302677,0.040879692542156086,0.779282380797492,95
V,Høyresida,2019,Innvandrerandel,0.013405029693684378,0.016460970494047097,0.8143523310810951,0.417569114249947,0.779282380797492,95
V,Høyresida,2019,Utdanning,0.17214070174589982,0.017318701666710234,9.939584678959292,3.413417339918588e-16,0.779282380797492,95
V,Høyresida,2021,Inntekt,2.4409941567543823e-6,8.395997276136726e-7,2.907330810709319,0.004537190143098922,0.8335972369322416,99
V,Høyresida,2021,Innvandrerandel,0.03656068954977114,0.022574738259043877,1.6195399091780929,0.10864625435604892,0.8335972369322416,99
V,Høyresida,2021,Utdanning,0.31822067899905365,0.025859935799049452,12.305547912874195,2.2471436381481574e-21,0.8335972369322416,99
V,Høyresida,2023,Inntekt,-6.274098670509276e-8,1.0083855438806266e-6,-0.062219244500117586,0.9505217632681636,0.8255855011823492,97
V,Høyresida,2023,Innvandrerandel,0.0010573241698359325,0.020495855418889316,0.051587218402286604,0.9589682466737972,0.8255855011823492,97
V,Høyresida,2023,Utdanning,0.27850686646719675,0.023135973235419192,12.037828002014914,1.1288273651480614e-20,0.8255855011823492,97
V,Høyresida,2025,Inntekt,6.315074836098609e-6,9.188565175239118e-7,6.872754032496993,7.359945504381601e-10,0.8364435846985716,96
V,Høyresida,2025,Innvandrerandel,0.01975082510120395,0.019085036695457924,1.0348853615725286,0.30343508063722535,0.8364435846985716,96
V,Høyresida,2025,Utdanning,0.20021458118606625,0.02200579726398778,9.098265279109654,1.8028368040110343e-14,0.8364435846985716,96
